# Time-averaged data for fix aveIm
# TimeStep c_Im
10000 -0.399211
20000 -0.398415
30000 -0.398407
40000 -0.398187
50000 -0.398159
60000 -0.398017
70000 -0.397946
80000 -0.397844
90000 -0.397329
100000 -0.397646
110000 -0.397585
120000 -0.397353
130000 -0.397008
140000 -0.396585
150000 -0.396366
160000 -0.396198
170000 -0.395829
180000 -0.395638
190000 -0.3952
200000 -0.394996
210000 -0.394973
220000 -0.394482
230000 -0.394347
240000 -0.393947
250000 -0.393488
260000 -0.393558
270000 -0.392935
280000 -0.392592
290000 -0.391845
300000 -0.391413
310000 -0.391835
320000 -0.390708
330000 -0.390756
340000 -0.389957
350000 -0.389748
360000 -0.389687
370000 -0.389272
380000 -0.388658
390000 -0.388235
400000 -0.387731
410000 -0.387378
420000 -0.387325
430000 -0.386539
440000 -0.386112
450000 -0.385789
460000 -0.385317
470000 -0.384292
480000 -0.383828
490000 -0.383219
500000 -0.3827
510000 -0.381875
520000 -0.38116
530000 -0.381016
540000 -0.380987
550000 -0.38015
560000 -0.379366
570000 -0.378952
580000 -0.378239
590000 -0.3774
600000 -0.376737
610000 -0.376234
620000 -0.375238
630000 -0.374596
640000 -0.374283
650000 -0.373389
660000 -0.372793
670000 -0.372352
680000 -0.371883
690000 -0.370656
700000 -0.370344
710000 -0.369067
720000 -0.368841
730000 -0.367724
740000 -0.366893
750000 -0.366101
760000 -0.365695
770000 -0.36433
780000 -0.363167
790000 -0.36264
800000 -0.361764
810000 -0.360595
820000 -0.359945
830000 -0.35869
840000 -0.357931
850000 -0.356733
860000 -0.356522
870000 -0.35473
880000 -0.354431
890000 -0.353781
900000 -0.352635
910000 -0.351171
920000 -0.35023
930000 -0.348959
940000 -0.348414
950000 -0.347468
960000 -0.34611
970000 -0.345366
980000 -0.34386
990000 -0.342816
1000000 -0.341817
1010000 -0.340745
1020000 -0.339056
1030000 -0.338301
1040000 -0.337
1050000 -0.335901
1060000 -0.334755
1070000 -0.333929
1080000 -0.33278
1090000 -0.331069
1100000 -0.330048
1110000 -0.329242
1120000 -0.327162
1130000 -0.326
1140000 -0.325019
1150000 -0.323519
1160000 -0.322322
1170000 -0.320966
1180000 -0.319553
1190000 -0.318586
1200000 -0.317088
1210000 -0.316126
1220000 -0.315035
1230000 -0.313239
1240000 -0.311791
1250000 -0.310847
1260000 -0.309219
1270000 -0.307897
1280000 -0.30644
1290000 -0.304999
1300000 -0.30344
1310000 -0.302145
1320000 -0.300722
1330000 -0.299422
1340000 -0.29779
1350000 -0.295894
1360000 -0.295202
1370000 -0.292916
1380000 -0.29171
1390000 -0.289481
1400000 -0.288262
1410000 -0.287107
1420000 -0.284925
1430000 -0.283598
1440000 -0.282261
1450000 -0.280255
1460000 -0.278773
1470000 -0.277455
1480000 -0.275526
1490000 -0.273146
1500000 -0.271667
1510000 -0.270104
1520000 -0.268546
1530000 -0.266269
1540000 -0.264929
1550000 -0.263725
1560000 -0.261887
1570000 -0.259766
1580000 -0.258049
1590000 -0.255672
1600000 -0.25389
1610000 -0.251482
1620000 -0.249719
1630000 -0.248457
1640000 -0.246272
1650000 -0.244301
1660000 -0.242681
1670000 -0.24033
1680000 -0.238304
1690000 -0.236457
1700000 -0.234336
1710000 -0.232944
1720000 -0.229524
1730000 -0.228324
1740000 -0.226264
1750000 -0.222968
1760000 -0.221094
1770000 -0.219401
1780000 -0.217164
1790000 -0.214102
1800000 -0.213021
1810000 -0.210844
1820000 -0.208543
1830000 -0.206158
1840000 -0.20385
1850000 -0.201327
1860000 -0.199426
1870000 -0.196849
1880000 -0.19423
1890000 -0.192241
1900000 -0.189
1910000 -0.18765
1920000 -0.184782
1930000 -0.182202
1940000 -0.180168
1950000 -0.177252
1960000 -0.175013
1970000 -0.172711
1980000 -0.170765
1990000 -0.168685
2000000 -0.164936
2010000 -0.162561
2020000 -0.15998
2030000 -0.157268
2040000 -0.155418
2050000 -0.152606
2060000 -0.150443
2070000 -0.146505
2080000 -0.144483
2090000 -0.141301
2100000 -0.139061
2110000 -0.136214
2120000 -0.134026
2130000 -0.131427
2140000 -0.126986
2150000 -0.126078
2160000 -0.122983
2170000 -0.120124
2180000 -0.11739
2190000 -0.114306
2200000 -0.112356
2210000 -0.109306
2220000 -0.106316
2230000 -0.104201
2240000 -0.101023
2250000 -0.0996392
2260000 -0.095771
2270000 -0.0930368
2280000 -0.0915404
2290000 -0.0887339
2300000 -0.0860871
2310000 -0.0830323
2320000 -0.0813945
2330000 -0.0776878
2340000 -0.0760289
2350000 -0.0731531
2360000 -0.0713381
2370000 -0.0679392
2380000 -0.0651746
2390000 -0.0635006
2400000 -0.0607416
2410000 -0.0582172
2420000 -0.0563541
2430000 -0.0542253
2440000 -0.0513192
2450000 -0.0501604
2460000 -0.0482674
2470000 -0.0466938
2480000 -0.0442636
2490000 -0.0416648
2500000 -0.0402836
2510000 -0.0388038
2520000 -0.0362088
2530000 -0.0347072
2540000 -0.0331957
2550000 -0.0319744
2560000 -0.0298731
2570000 -0.0274531
2580000 -0.0260621
2590000 -0.0253914
2600000 -0.0233179
2610000 -0.0225821
2620000 -0.0212143
2630000 -0.0195114
2640000 -0.0179987
2650000 -0.016491
2660000 -0.0156289
2670000 -0.0155872
2680000 -0.0143981
2690000 -0.0130565
2700000 -0.0119656
2710000 -0.0112975
2720000 -0.0109002
2730000 -0.00963395
2740000 -0.00848274
2750000 -0.00821817
2760000 -0.00772207
2770000 -0.00694203
2780000 -0.00626578
2790000 -0.00580187
2800000 -0.00559329
2810000 -0.00491181
2820000 -0.00431191
2830000 -0.00401701
2840000 -0.00373293
2850000 -0.00334387
2860000 -0.00299465
2870000 -0.00265151
2880000 -0.00255284
2890000 -0.00242772
2900000 -0.00199432
2910000 -0.00177499
2920000 -0.00168617
2930000 -0.00152451
2940000 -0.00157326
2950000 -0.00133161
2960000 -0.00112842
2970000 -0.00102086
2980000 -0.000761589
2990000 -0.000771126
3000000 -0.000919203
3010000 -0.000785358
3020000 -0.000733451
3030000 -0.000657301
3040000 -0.000489348
3050000 -0.000325528
3060000 -0.000391767
3070000 -0.000387503
3080000 -0.000227743
3090000 -0.000399323
3100000 -0.000317243
3110000 -0.000245337
3120000 -0.000113364
3130000 -5.08334e-05
3140000 4.79475e-05
3150000 -0.000172164
3160000 8.37806e-05
3170000 0.000142961
3180000 0.000201148
3190000 0.000251647
3200000 0.000391293
3210000 0.000244792
3220000 0.000421846
3230000 0.000410107
