# Time-averaged data for fix aveIp
# TimeStep c_Ip
10000 0.398919
20000 0.398534
30000 0.398473
40000 0.398244
50000 0.398103
60000 0.398206
70000 0.397813
80000 0.397772
90000 0.397446
100000 0.397664
110000 0.397249
120000 0.397305
130000 0.396907
140000 0.396761
150000 0.396341
160000 0.396148
170000 0.395475
180000 0.39568
190000 0.395141
200000 0.394935
210000 0.394959
220000 0.394644
230000 0.394321
240000 0.393992
250000 0.393487
260000 0.393719
270000 0.393176
280000 0.392643
290000 0.391824
300000 0.39183
310000 0.391309
320000 0.390874
330000 0.390887
340000 0.390173
350000 0.389736
360000 0.389539
370000 0.389313
380000 0.388595
390000 0.388315
400000 0.387712
410000 0.387223
420000 0.387071
430000 0.386789
440000 0.386216
450000 0.38583
460000 0.385196
470000 0.384262
480000 0.384062
490000 0.383315
500000 0.382728
510000 0.382142
520000 0.381362
530000 0.381065
540000 0.380838
550000 0.380093
560000 0.37947
570000 0.378874
580000 0.378147
590000 0.377593
600000 0.376657
610000 0.3763
620000 0.375474
630000 0.374822
640000 0.374283
650000 0.373571
660000 0.372878
670000 0.372113
680000 0.371525
690000 0.370872
700000 0.370392
710000 0.368843
720000 0.368784
730000 0.367995
740000 0.36712
750000 0.366274
760000 0.36572
770000 0.364692
780000 0.363544
790000 0.362678
800000 0.361737
810000 0.360506
820000 0.359864
830000 0.358626
840000 0.3576
850000 0.356701
860000 0.356326
870000 0.354928
880000 0.354329
890000 0.353469
900000 0.352423
910000 0.35106
920000 0.350085
930000 0.348994
940000 0.348435
950000 0.347415
960000 0.346033
970000 0.345229
980000 0.343944
990000 0.342843
1000000 0.341483
1010000 0.340266
1020000 0.339352
1030000 0.33812
1040000 0.337044
1050000 0.336045
1060000 0.334604
1070000 0.333891
1080000 0.332732
1090000 0.331057
1100000 0.329905
1110000 0.32902
1120000 0.327547
1130000 0.326202
1140000 0.325069
1150000 0.323517
1160000 0.322185
1170000 0.320667
1180000 0.31978
1190000 0.318331
1200000 0.317276
1210000 0.316011
1220000 0.315137
1230000 0.313447
1240000 0.31156
1250000 0.310829
1260000 0.309067
1270000 0.30789
1280000 0.306339
1290000 0.30488
1300000 0.303548
1310000 0.302107
1320000 0.300489
1330000 0.299633
1340000 0.297599
1350000 0.29595
1360000 0.29507
1370000 0.292906
1380000 0.291622
1390000 0.289745
1400000 0.288337
1410000 0.287048
1420000 0.285169
1430000 0.283803
1440000 0.281985
1450000 0.280283
1460000 0.278723
1470000 0.27716
1480000 0.27541
1490000 0.273083
1500000 0.271556
1510000 0.270213
1520000 0.268268
1530000 0.266512
1540000 0.264741
1550000 0.263623
1560000 0.26163
1570000 0.259624
1580000 0.257993
1590000 0.255579
1600000 0.254259
1610000 0.251501
1620000 0.249773
1630000 0.248495
1640000 0.246205
1650000 0.244313
1660000 0.242587
1670000 0.240708
1680000 0.238106
1690000 0.236711
1700000 0.234546
1710000 0.232854
1720000 0.229865
1730000 0.228527
1740000 0.226567
1750000 0.223132
1760000 0.221241
1770000 0.219494
