# Time-averaged data for fix aveE
# TimeStep v_varbias
10000 0.591998
20000 0.591983
30000 0.591953
40000 0.591909
50000 0.59185
60000 0.591776
70000 0.591687
80000 0.591583
90000 0.591465
100000 0.591332
110000 0.591184
120000 0.591021
130000 0.590844
140000 0.590651
150000 0.590444
160000 0.590222
170000 0.589986
180000 0.589735
190000 0.589469
200000 0.589188
210000 0.588892
220000 0.588582
230000 0.588257
240000 0.587917
250000 0.587563
260000 0.587194
270000 0.58681
280000 0.586412
290000 0.585999
300000 0.585571
310000 0.585129
320000 0.584672
330000 0.5842
340000 0.583714
350000 0.583213
360000 0.582698
370000 0.582168
380000 0.581624
390000 0.581065
400000 0.580491
410000 0.579903
420000 0.5793
430000 0.578683
440000 0.578052
450000 0.577406
460000 0.576745
470000 0.576071
480000 0.575381
490000 0.574678
500000 0.57396
510000 0.573228
520000 0.572481
530000 0.57172
540000 0.570945
550000 0.570155
560000 0.569351
570000 0.568533
580000 0.567701
590000 0.566855
600000 0.565994
610000 0.565119
620000 0.564231
630000 0.563328
640000 0.562411
650000 0.561479
660000 0.560534
670000 0.559575
680000 0.558602
690000 0.557615
700000 0.556614
710000 0.555599
720000 0.55457
730000 0.553527
740000 0.552471
750000 0.5514
760000 0.550316
770000 0.549218
780000 0.548107
790000 0.546981
800000 0.545842
810000 0.544689
820000 0.543523
830000 0.542343
840000 0.54115
850000 0.539943
860000 0.538722
870000 0.537488
880000 0.536241
890000 0.53498
900000 0.533706
910000 0.532419
920000 0.531118
930000 0.529804
940000 0.528476
950000 0.527136
960000 0.525782
970000 0.524415
980000 0.523035
990000 0.521642
1000000 0.520236
1010000 0.518817
1020000 0.517385
1030000 0.51594
1040000 0.514482
1050000 0.513011
1060000 0.511528
1070000 0.510031
1080000 0.508522
1090000 0.507
1100000 0.505466
1110000 0.503919
1120000 0.502359
1130000 0.500787
1140000 0.499202
1150000 0.497605
1160000 0.495995
1170000 0.494373
1180000 0.492738
1190000 0.491091
1200000 0.489432
1210000 0.487761
1220000 0.486077
1230000 0.484382
1240000 0.482674
1250000 0.480954
1260000 0.479222
1270000 0.477478
1280000 0.475722
1290000 0.473955
